sample_idx,hdr90_coverage
0,0.8860287373891776
1,0.8878630388260471
2,0.9746254967899725
3,0.7781106695200245
4,0.9273616630999695
5,0.8262305105472333
6,0.8950168144298379
7,0.9173341485784164
8,0.986242739223479
9,0.8494649954142464
10,0.5852033017425864
11,0.9616019565881994
12,0.8308162641394069
13,0.9363497401406298
14,0.9515744420666463
15,0.9377560379088964
16,0.8209721797615408
17,0.9174564353408744
18,0.9309691225924793
19,0.9104249464995414
20,0.6868847447263834
21,0.7604402323448487
22,0.9309691225924793
23,0.8453683888719046
24,0.8940996637114033
25,0.9334148578416387
26,0.9499235707734638
27,0.9020483032711709
28,0.9773769489452767
29,0.9719963313971263
30,0.8861510241516356
31,0.7018648731274839
32,0.9541424640782635
33,0.9103638031183124
34,0.9715071843472944
35,0.949373280342403
36,0.9132375420360745
37,0.7819627025374504
38,0.9340874350351575
39,0.9367777438092326
40,0.9021094466523999
41,0.9016202996025681
42,0.9134209721797616
43,0.9183735860593091
44,0.8859064506267197
45,0.9115255273616631
46,0.942219504738612
47,0.9504127178232956
48,0.9584836441455212
49,0.8825435646591256
