pathway,n_genes,n_pairs,mean_overlap,median_overlap,fold_over_random
Ribosomal_RPL_RPS,158,1770,0.022449717514124296,0.02,1.3930944780716286
MHC_class_I,6,15,0.018266666666666667,0.018000000000000002,1.1335194952942393
Hemoglobin,4,6,0.027000000000000007,0.026000000000000002,1.6754576481538943
Heat_shock,9,36,0.043444444444444445,0.043000000000000003,2.6959009894163475
Stress_IEG,10,45,0.029022222222222227,0.026000000000000006,1.800944599579412
Inflammation,8,28,0.023785714285714292,0.023,1.4759984043260497
Mitochondrial_OXPHOS,112,1770,0.018201129943502828,0.016,1.1294526803290617
Bimodal_state_anchor,12,66,0.029696969696969704,0.03,1.84281537058453
Immunoglobulin_V,100,1770,0.02212203389830509,0.022,1.3727604032457392
TCR_Vsegments,147,1770,0.020729943502824862,0.02,1.2863756439854086
