threshold_log2cpm,n_always_expressed,n_expressed_union
0.0,9432,44621
0.25,9405,44478
0.5,9021,38461
0.75,8688,35401
1.0,8425,31444
1.25,8141,28096
1.5,7879,25087
1.75,7567,22383
2.0,7296,20198
2.25,6939,18475
2.5,6569,17070
2.75,6188,15837
3.0,5841,14787
3.25,5457,13943
3.5,5060,13162
3.75,4648,12418
4.0,4220,11728
4.25,3835,11099
4.5,3454,10483
4.75,3050,9873
5.0,2692,9245
5.25,2322,8583
5.5,1997,7917
5.75,1685,7141
6.0,1412,6403
6.25,1135,5674
6.5,921,4967
6.75,748,4295
7.0,585,3602
7.25,470,3011
7.5,381,2467
7.75,292,2041
8.0,225,1650
8.25,176,1336
8.5,139,1064
8.75,104,851
9.0,78,689
9.25,62,554
9.5,45,434
9.75,33,338
10.0,24,273
